stop_id,stop_name,stop_lat,stop_lon
LLrlour1,LA REID Ferme Lourlaine,50.507571,5.79882
LLrlour2,LA REID Ferme Lourlaine,50.507508,5.798956
LLrmaq-2,LA REID Route du Maquisard 92,50.489146,5.801353
LLrmc--1,LA REID Maison Communale,50.488303,5.790129
LLrmc--2,LA REID Maison Communale,50.488465,5.790282
LLrmc--3,LA REID Maison Communale,50.488178,5.789378
LLrmc--4,LA REID Maison Communale,50.488507,5.789661
LLrmeno1,LA REID Parc MǸnobu,50.494543,5.770734
LLrmeno2,LA REID Parc MǸnobu,50.494363,5.770682
LLrpape1,LA REID Croix Papet carrefour,50.47517,5.795313
LLrpape2,LA REID Croix Papet carrefour,50.475065,5.79551
LLrpape3,LA REID Croix Papet carrefour,50.475069,5.795355
LLrpape4,LA REID Croix Papet carrefour,50.475237,5.795234
LLRptma1,LENS-SAINT-REMY Petit Marais,50.658493,5.124415
LLRptma2,LENS-SAINT-REMY Petit Marais,50.658314,5.124386
LLRrape1,LENS-SAINT-REMY Rǽperie,50.649451,5.125927
LLRrape2,LENS-SAINT-REMY Rǽperie,50.649288,5.125896
LLRrape3,LENS-SAINT-REMY Rǽperie,50.649754,5.127555
LLRrape4,LENS-SAINT-REMY Rǽperie,50.64965,5.127647
LLrrmaq1,LA REID Route du Maquisard 92,50.489189,5.801483
LLRsalm1,LENS-SAINT-REMY Rue des Salmons,50.65135,5.130678
LLRsalm2,LENS-SAINT-REMY Rue des Salmons,50.651271,5.130616
LLrscie1,LA REID Scierie,50.507768,5.824705
LLrscie2,LA REID Scierie,50.507878,5.824884
LLrvill1,LA REID Village,50.490874,5.791596
LLRvill1,LENS-SAINT-REMY Route du Village,50.653456,5.117018
LLrvill2,LA REID Village,50.490784,5.791716
LLRvill2,LENS-SAINT-REMY Route du Village,50.653173,5.117253
LLSba4-1,LENS-SAINT-SERVAIS Rue du Baulet 4,50.661273,5.157964
LLSba4-2,LENS-SAINT-SERVAIS Rue du Baulet 4,50.660886,5.158955
LLSba6-1,LENS-SAINT-SERVAIS Rue du Baulet 6,50.662299,5.166098
LLSba6-2,LENS-SAINT-SERVAIS Rue du Baulet 6,50.662293,5.166351
LLSba9-1,LENS-SAINT-SERVAIS Rue du Baulet 9,50.664989,5.169035
LLSba9-2,LENS-SAINT-SERVAIS Rue du Baulet 9,50.664938,5.169382
LLSbajo1,LENS-SAINT-SERVAIS Rue H. Bajot,50.66405,5.156676
LLSbajo2,LENS-SAINT-SERVAIS Rue H. Bajot,50.663921,5.156747
LlSbuch1,LOSHEIMERGRABEN Buchholzer Weg,50.363784,6.331632
LlSbuch2,LOSHEIMERGRABEN Buchholzer Weg,50.363787,6.331797
LLscent1,LASNENVILLE Centre,50.384794,6.015058
LLscent2,LASNENVILLE Centre,50.384688,6.015017
LLStour1,LENS-SAINT-SERVAIS Rue de Tourinne,50.662913,5.155842
LLStour2,LENS-SAINT-SERVAIS Rue de Tourinne,50.662864,5.155691
LLStrid1,LENS-SAINT-SERVAIS Rue des Tridaines,50.666397,5.162106
LLStrid2,LENS-SAINT-SERVAIS Rue des Tridaines,50.666234,5.162076
LLStrid3,LENS-SAINT-SERVAIS Rue des Tridaines,50.66661,5.163854
LLStrid4,LENS-SAINT-SERVAIS Rue des Tridaines,50.666703,5.163816
LlSzoll1,LOSHEIMERGRABEN Zoll,50.380013,6.341949
LlSzoll2,LOSHEIMERGRABEN Zoll,50.380131,6.342104
LLt43--1,LAMONTZEE 43,50.585162,5.100616
LLt43--2,LAMONTZEE 43,50.584996,5.100527
LLTcent1,LATINNE Centre,50.624523,5.162992
LLTcent2,LATINNE Centre,50.624409,5.162983
LLTcoop1,LATINNE CoopǸrative,50.623486,5.166713
LLTcoop2,LATINNE CoopǸrative,50.623352,5.166771
LLteg--1,LAMONTZEE Eglise,50.583739,5.089982
LLTeg--1,LATINNE Eglise,50.623244,5.157335
LLteg--2,LAMONTZEE Eglise,50.583614,5.090017
LLTeg--2,LATINNE Eglise,50.62316,5.156832
LLTfall1,LATINNE rue de Fallais 197,50.615041,5.171411
LLTfall2,LATINNE rue de Fallais 197,50.614984,5.171235
LLTgole1,LATINNE Les Golettes,50.628114,5.173195
LLTgole2,LATINNE Les Golettes,50.628232,5.172537
LLThosd1,LATINNE Hosdent,50.619502,5.167805
LLThosd2,LATINNE Hosdent,50.619,5.167644
LLtrout1,LAMONTZEE Grand-Route,50.583,5.083679
LLtrout2,LAMONTZEE Grand-Route,50.582855,5.083625
LLTther1,LATINNE Belle ThǸr  se,50.622145,5.181673
LLTther2,LATINNE Belle ThǸr  se,50.621932,5.181619
LLTtour1,LATINNE Route de Tourinne,50.629739,5.169611
LLTtour2,LATINNE Route de Tourinne,50.629654,5.169419
LLtwanz1,LAMONTZEE Ferme Wanzoul,50.586323,5.096584
LLtwanz2,LAMONTZEE Ferme Wanzoul,50.586219,5.096863
LLUadze1,LOUVEIGNE Chemin d'Adzeux,50.52049,5.726771
LLUadze2,LOUVEIGNE Chemin d'Adzeux,50.520677,5.726878
LLUalou1,LOUVEIGNE Rue des Alouettes,50.533061,5.730553
LLUalou2,LOUVEIGNE Rue des Alouettes,50.532912,5.729894
LLUcdoy1,LOUVEIGNE Carrefour rue Doyard,50.542036,5.723355
LLUcdoy2,LOUVEIGNE Carrefour rue Doyard,50.541984,5.723263
LLUdeig1,LOUVEIGNE DeignǸ,50.507455,5.727794
LLUdeig2,LOUVEIGNE DeignǸ,50.507563,5.728072
LLUdoya1,LOUVEIGNE Rue Doyard 30,50.537564,5.722707
LLUdoya2,LOUVEIGNE Rue Doyard 30,50.537728,5.722572
LLUg82-1,LOUVEIGNE Rue de la Gendarmerie 82,50.521422,5.704434
LLUg82-2,LOUVEIGNE Rue de la Gendarmerie 82,50.521469,5.704334
LLUgend1,LOUVEIGNE Gendarmerie,50.523772,5.707795
LLUgend2,LOUVEIGNE Gendarmerie,50.523817,5.707671
LLUhotc1,LOUVEIGNE Chemin de Hotchamps,50.496712,5.720626
LLUhotc2,LOUVEIGNE Chemin de Hotchamps,50.496849,5.720366
LLUlieg1,LOUVEIGNE Rue de Li  ge 42,50.535551,5.704923
LLUlieg2,LOUVEIGNE Rue de Li  ge 42,50.535756,5.704598
LLUmc--1,LOUVEIGNE Maison Communale,50.530324,5.711617
LLUmc--2,LOUVEIGNE Maison Communale,50.530473,5.712087
LLUmont1,LOUVEIGNE Rue des Montys,50.531868,5.707745
LLUmont2,LOUVEIGNE Rue des Montys,50.53205,5.707852
LLUpier1,LOUVEIGNE Rue sur Pierry,50.527962,5.706561
LLUpier2,LOUVEIGNE Rue sur Pierry,50.528068,5.706681
LLUreut1,LOUVEIGNE Maison Reuter,50.528051,5.711295
LLUreut2,LOUVEIGNE Maison Reuter,50.527985,5.710836
LLUtill1,LOUVEIGNE Tilleul,50.530208,5.715481
LLUtill2,LOUVEIGNE Tilleul,50.5305,5.71443
LLUtill3,LOUVEIGNE Tilleul,50.530557,5.71445
LLUtill4,LOUVEIGNE Tilleul,50.530673,5.714344
LLUtrol1,LOUVEIGNE Rue Troleu,50.526544,5.721684
LLUtrol2,LOUVEIGNE Rue Troleu,50.526597,5.721845
LLUvent2,LOUVEIGNE Plein Vent,50.528539,5.720212
LLUvent4,LOUVEIGNE Plein Vent,50.529778,5.719562
LLUvent5,LOUVEIGNE Plein Vent,50.529799,5.719773
LLUvent6,LOUVEIGNE Plein Vent,50.528347,5.720111
LLVboss1,LES VILLETTES La Bosse,50.33305,5.782125
LLVcent1,LES VILLETTES Centre,50.329935,5.76248
LLVe75-1,LES VILLETTES Erria 75,50.330863,5.771485
LLVeg--1,LES VILLETTES Eglise,50.328315,5.764887
LLVerri1,LES VILLETTES Erria carrefour,50.331804,5.778395
LLvferm1,LES AVINS Ferme,50.41521,5.303817
LLvferm2,LES AVINS Ferme,50.415141,5.303542
LLVfoss1,LES VILLETTES Route de Fosse,50.340626,5.807323
LLVfour1,LES VILLETTES Les Fourirs,50.329198,5.757473
LLvgare1,LES AVINS Gare,50.412789,5.30123
LLvgare2,LES AVINS Gare,50.412628,5.301274
LLvpost1,LES AVINS Poste,50.419004,5.307446
LLvpost2,LES AVINS Poste,50.419181,5.307576
LLWcarr1,LES WALEFFES Carrefour,50.641358,5.209577
LLWcarr2,LES WALEFFES Carrefour,50.641239,5.209811
LLWchat1,LES WALEFFES Chǽteau,50.636687,5.228169
LLWchat2,LES WALEFFES Chǽteau,50.636411,5.228093
LLWmonu1,LES WALEFFES Monument,50.639946,5.218702
LLWmonu2,LES WALEFFES Monument,50.639794,5.218913
