stop_id,stop_name,stop_lat,stop_lon
S8871100,Marchienne-au-Pont,50.41217,4.39422
S8871175,Jamioulx,50.352901,4.41129
S8871183,Beignée,50.333894,4.406307
S8871217,Roux,50.44311,4.3932
S8871225,Courcelles-Motte,50.46201,4.40053
S8871308,Luttre,50.50586,4.38412
S8871332,Obaix-Buzet,50.53521,4.36357
S8871365,Pont-è-Celles,50.513813,4.355296
S8871373,Gouy-lez-Piéton,50.497064,4.325126
S8871381,Godarville,50.4928,4.29031
S8871415,Piéton,50.43496,4.28844
S8871514,Forchies,50.433311,4.325381
S8871605,Erquelinnes,50.30419,4.11356
S8871647,Erquelinnes-Village,50.310177,4.13231
S8871662,Solre-sur-Sambre,50.31264,4.15843
S8871670,Labuissière,50.316328,4.186832
S8871688,Fontaine-Valmont,50.321169,4.212787
S8871712,Lobbes,50.346469,4.260957
S8871811,Thuin,50.34274,4.28891
S8871829,Hourpes,50.36369,4.30874
S8871837,Landelies,50.37731,4.35098
S8871852,Marchienne-Zone,50.397467,4.388764
S8872009,Charleroi-Central,50.40471,4.43857
S8872066,Charleroi-Ouest,50.410951,4.436652
S8872306,Lodelinsart,50.43245,4.46295
S8872413,Fleurus,50.481924,4.543746
S8872520,Ligny,50.511728,4.566134
S8872553,Tilly,50.55808,4.552674
S8872579,Villers-la-Ville,50.578104,4.533348
S8872587,La Roche (brabant),50.61034,4.53916
S8872611,FAUX,50.62183,4.54926
S8873007,Walcourt,50.25922,4.435877
S8873122,Philippeville,50.19164,4.53596
S8873239,Yves-Gomezée,50.236984,4.500404
S8873312,Pry,50.269281,4.428807
S8873320,Berzée,50.285599,4.405909
S8873379,Cour-sur-Heure,50.300139,4.391492
S8873387,Ham-sur-Heure,50.319557,4.404698
S8874005,Chǽtelet,50.4101,4.52186
S8874054,Couillet,50.392718,4.468512
S8874559,Le Campinaire,50.423832,4.542787
S8874567,Farciennes,50.429148,4.55265
S8874583,Aiseau,50.429533,4.58455
S8874609,Tamines,50.432232,4.608824
S8874716,Auvelais,50.4492,4.630534
S8874724,Jemeppe-sur-Sambre,50.45095,4.66263
S8875002,Mariembourg,50.09549,4.52569
S8875127,Couvin,50.05632,4.4917
S8881000,Mons,50.453858,3.942542
S8881125,Ghlin,50.48741,3.90634
S8881158,Erbisoeul,50.507024,3.887991
S8881166,Jurbise,50.5305,3.91069
S8881174,Masnuy-Saint-Pierre,50.53655,3.96214
S8881190,Lens,50.559339,3.903226
S8881315,Nimy,50.471643,3.956093
S8881406,Obourg,50.469874,4.007808
S8881430,Havré,50.470751,4.059987
S8881455,Thieu,50.46954,4.09852
S8881463,Bracquegnies,50.474458,4.126349
S8881505,Quévy,50.341531,3.909489
S8881562,Genly,50.39064,3.91164
S8881570,Frameries,50.405935,3.90659
S8882107,La Louvière-Centre,50.47816,4.17986
S8882206,La Louvière-Sud,50.464976,4.190611
S8882230,Morlanwelz,50.458,4.24737
S8882248,Carnières,50.447959,4.263829
S8882339,Leval,50.4308,4.21104
S8882362,Binche,50.40876,4.17245
S8882701,Manage,50.50611,4.23468
S8883006,Braine-le-Comte,50.60508,4.13766
S8883022,Hennuyères,50.65101,4.17589
S8883113,Soignies,50.572768,4.067518
S8883121,Neufvilles,50.5436,4.01067
S8883212,Ecaussinnes,50.562387,4.156637
S8883220,Marche-lez-Ecaussinnes,50.546175,4.177102
S8883238,Familleureux,50.51936,4.21158
S8883311,Enghien,50.697272,4.047359
S8883436,Silly,50.662382,3.935861
S8883808,Tubize,50.69171,4.20573
S8884004,Saint-Ghislain,50.442862,3.820255
S8884319,Boussu,50.436384,3.797027
S8884327,Hainin,50.428021,3.766893
S8884335,Quiévrain,50.410106,3.68608
S8884350,Thulin,50.423332,3.744708
S8884541,Quaregnon,50.449824,3.856541
S8884566,Jemappes,50.452577,3.885583
S8884632,Ville-Pommeroeul,50.464544,3.724245
S8884640,Harchies,50.482565,3.698768
S8884715,Blaton,50.505459,3.666308
S8884855,Péruwelz,50.513704,3.592777
S8884889,Callenelle,50.527359,3.526178
S8885001,Tournai,50.61313,3.39694
S8885068,Froyennes,50.629894,3.354835
S8885522,Antoing,50.56963,3.45131
S8885530,Maubray,50.547556,3.495523
S8885704,Mouscron,50.741003,3.228449
S8885753,Herseaux,50.713897,3.245961
S8886009,Ath,50.626936,3.777428
S8886041,Maffle,50.614353,3.800117
S8886058,Mévergnies-Attre,50.600112,3.833919
S8886066,Brugelette,50.594233,3.852551
S8886074,Cambron-Casteau,50.586759,3.87481
S8886348,Leuze,50.600609,3.616876
S8886504,Lessines,50.712012,3.836434
S8886546,Acren,50.733098,3.84709
S8886553,Houraing,50.703059,3.835174
S8886561,Papignies,50.686583,3.82341
S8886587,Rebaix,50.661238,3.793624
S8891009,Bruges,51.19723,3.21673
S8891033,Bruges-Saint-Pierre,51.223116,3.201796
S8891116,Oostkamp,51.15411,3.25747
S8891124,Beernem,51.12801,3.32989
S8891132,Maria-Aalter,51.10761,3.38673
S8891140,Aalter,51.092297,3.447848
S8891157,Bellem,51.08391,3.48737
S8891165,Hansbeke,51.073206,3.53621
S8891173,Zeebrugge-Strand,51.330503,3.184028
S8891264,Zedelgem,51.127048,3.164142
S8891314,Torhout,51.06471,3.10587
S8891405,Blankenberge,51.31243,3.13386
S8891553,Zeebrugge-Dorp,51.326381,3.195171
S8891629,Lissewege,51.29471,3.19451
S8891645,Heist,51.333975,3.239182
S8891652,Duinbergen,51.338199,3.263591
S8891660,Knokke,51.339898,3.28519
S8891702,Ostende,51.22821,2.92581
S8892007,Gand-Saint-Pierre,51.035898,3.710673
S8892031,Tronchiennes,51.047292,3.655201
S8892056,Landegem,51.064313,3.576856
S8892080,De Pinte,50.99706,3.650467
S8892106,Deinze,50.978261,3.534435
